CustomerID,Lookalikes
C0001,"[('C0164', 0.9684103747672836), ('C0137', 0.962080832605305), ('C0069', 0.9550713611775175)]"
C0002,"[('C0029', 0.9997616343498978), ('C0031', 0.9990127676471738), ('C0094', 0.9935549754103509)]"
C0003,"[('C0176', 0.8906401232895584), ('C0027', 0.8635793097874297), ('C0010', 0.8297171756607857)]"
C0004,"[('C0075', 0.9976740652389241), ('C0175', 0.9940844827669524), ('C0195', 0.9935556068793538)]"
C0005,"[('C0058', 0.9997982043779898), ('C0123', 0.9997057571026509), ('C0015', 0.9996889628083023)]"
C0006,"[('C0079', 0.9998795967431424), ('C0196', 0.9942428517003664), ('C0117', 0.9890464129049237)]"
C0007,"[('C0140', 0.9985337287784547), ('C0085', 0.9953541911367757), ('C0125', 0.9953474115821755)]"
C0008,"[('C0179', 0.9965086350321659), ('C0081', 0.9926519091915025), ('C0090', 0.98792990302146)]"
C0009,"[('C0192', 0.9983620640345526), ('C0177', 0.9963247565166135), ('C0083', 0.9956812088392264)]"
C0010,"[('C0142', 0.964094866380962), ('C0027', 0.956389113234902), ('C0029', 0.9551193524385135)]"
C0011,"[('C0023', 0.9819122814188915), ('C0064', 0.9760655386675109), ('C0100', 0.9748553748057439)]"
C0012,"[('C0041', 0.997318308138947), ('C0045', 0.9957679071207579), ('C0087', 0.9949099733379416)]"
C0013,"[('C0059', 0.9992581092102039), ('C0141', 0.9978361389320974), ('C0105', 0.9977518717942889)]"
C0014,"[('C0033', 0.9996378284444327), ('C0095', 0.9995970404048438), ('C0060', 0.9994214836893801)]"
C0015,"[('C0131', 0.9999953416670492), ('C0058', 0.9999874168608283), ('C0005', 0.9996889628083023)]"
C0016,"[('C0107', 0.9642876834861008), ('C0152', 0.8486463373851235), ('C0183', 0.8342045506911487)]"
C0017,"[('C0162', 0.9977685065474171), ('C0124', 0.9977055542411001), ('C0084', 0.9960896356490084)]"
C0018,"[('C0182', 0.9847257873183777), ('C0165', 0.9846269845769469), ('C0028', 0.9843792860871865)]"
C0019,"[('C0172', 0.9869730973269422), ('C0116', 0.9583927127074583), ('C0056', 0.9057829108798118)]"
C0020,"[('C0080', 0.9998945211239678), ('C0167', 0.9996792207434816), ('C0063', 0.9991215168244046)]"
C0021,"[('C0108', 0.9991587931178615), ('C0067', 0.9976725127995537), ('C0122', 0.9895770460223627)]"
C0022,"[('C0013', 0.9975104849575639), ('C0155', 0.9965705788327003), ('C0051', 0.995935919312681)]"
C0023,"[('C0100', 0.9990482771647566), ('C0011', 0.9819122814188915), ('C0051', 0.9775470171144645)]"
C0024,"[('C0194', 0.9919556361367864), ('C0081', 0.985681025184257), ('C0139', 0.9850687693224673)]"
C0025,"[('C0199', 0.9970906821018459), ('C0032', 0.9934339128320329), ('C0083', 0.9920506148525787)]"
C0026,"[('C0040', 0.9956059041002255), ('C0066', 0.9489893422348923), ('C0185', 0.9429068394484836)]"
C0027,"[('C0166', 0.9788131740245242), ('C0142', 0.9775438532784017), ('C0073', 0.973554795670865)]"
C0028,"[('C0143', 0.997728226489831), ('C0012', 0.9871913746271886), ('C0182', 0.9844583493216137)]"
C0029,"[('C0002', 0.9997616343498978), ('C0031', 0.9978047340454785), ('C0094', 0.9951410750871293)]"
C0030,"[('C0038', 0.9997089937743081), ('C0086', 0.9993424345497313), ('C0106', 0.9957588503292553)]"
C0031,"[('C0002', 0.9990127676471738), ('C0029', 0.9978047340454785), ('C0077', 0.9970313428116165)]"
C0032,"[('C0199', 0.9986191725163621), ('C0083', 0.9985099582817061), ('C0043', 0.9977791612914142)]"
C0033,"[('C0060', 0.9999747781569308), ('C0014', 0.9996378284444327), ('C0186', 0.999258030192148)]"
C0034,"[('C0181', 0.9433051871577778), ('C0049', 0.8883901955605926), ('C0109', 0.8701993333609973)]"
C0035,"[('C0186', 0.9992192215931781), ('C0071', 0.9985280133720289), ('C0060', 0.9985186491900819)]"
C0036,"[('C0112', 0.9996897941191084), ('C0060', 0.9992453919983744), ('C0033', 0.9991895768723486)]"
C0037,"[('C0170', 0.9987509243101383), ('C0171', 0.996565270758588), ('C0096', 0.9936356466770982)]"
C0038,"[('C0086', 0.9999262965153445), ('C0030', 0.9997089937743081), ('C0106', 0.9976884516787112)]"
C0039,"[('C0113', 0.9993948473477124), ('C0075', 0.9943622287441946), ('C0195', 0.9943430918767843)]"
C0040,"[('C0026', 0.9956059041002255), ('C0066', 0.9615477839546696), ('C0185', 0.9393899029999727)]"
C0041,"[('C0045', 0.9997278031613951), ('C0012', 0.997318308138947), ('C0153', 0.9958106614989922)]"
C0042,"[('C0125', 0.997462071577244), ('C0085', 0.9965262500841998), ('C0061', 0.9964811872293461)]"
C0043,"[('C0071', 0.9980973626444783), ('C0032', 0.9977791612914142), ('C0035', 0.9959625898630694)]"
C0044,"[('C0115', 0.9942133530242266), ('C0050', 0.9921887612340099), ('C0074', 0.991677613004948)]"
C0045,"[('C0041', 0.9997278031613951), ('C0012', 0.9957679071207579), ('C0153', 0.9947432371696553)]"
C0046,"[('C0057', 0.9996389891526571), ('C0104', 0.9989919821323953), ('C0099', 0.998469872671448)]"
C0047,"[('C0147', 0.9834000609118444), ('C0161', 0.9763467014791972), ('C0098', 0.9751792264814484)]"
C0048,"[('C0183', 0.9999996415286145), ('C0187', 0.9866160870141506), ('C0107', 0.9074404123151198)]"
C0049,"[('C0181', 0.9509578691890133), ('C0047', 0.9290179186962323), ('C0161', 0.9269270940740925)]"
C0050,"[('C0074', 0.9999816009505565), ('C0115', 0.9995299823160765), ('C0044', 0.9921887612340099)]"
C0051,"[('C0022', 0.995935919312681), ('C0155', 0.9899134435396686), ('C0013', 0.9885773644547204)]"
